Issue,SP,Time Spent
TEIID-5835,1,3600
TEIID-5886,0.5,10800
TEIID-5611,0.5,9000
TEIID-5955,0.1,3600
TEIID-5948,0.5,9000
TEIID-5862,1,14400
TEIID-6005,0.5,14400
TEIID-5991,0.5,5400
TEIID-5938,0.5,5400
TEIID-5981,0.5,10800
TEIID-5969,0.5,7200
TEIID-5918,0.5,7200
TEIID-5990,0.1,1800
TEIID-5943,0.5,10800
TEIID-5854,1,3600
TEIID-5975,1,36000
TEIID-5839,1,3600
TEIID-5849,1,7200
TEIID-5944,0.5,7200
TEIID-6002,0.5,7200
TEIID-5904,0.5,7200
TEIID-5798,3,68400
TEIID-5930,0.5,10800
TEIID-5906,1,5400
TEIID-5954,0.1,3600
TEIID-5961,0.5,7200
TEIID-6016,0.1,7200
TEIID-5986,0.1,1800
TEIID-5997,0.5,7200
TEIID-5866,0.5,7200
TEIID-5939,0.5,7200
TEIID-5967,0.1,1800
TEIID-5915,0.5,14400
TEIID-5871,0.5,7200
TEIID-5863,0.5,7200
TEIID-5916,0.5,7200
TEIID-5933,0.5,10800
TEIID-5883,1,25200
TEIID-6001,0.5,9000
TEIID-5909,0.5,18000
TEIID-5950,0.5,7200
TEIID-5894,0.5,5400
TEIID-5864,1,18000
TEIID-5891,0.1,1800
TEIID-5859,1,25200
TEIID-5882,0.5,3600
TEIID-6004,0.5,5400
TEIID-5949,0.1,5400
TEIID-5996,0.5,5400
TEIID-5911,0.5,3600
TEIID-5921,1,25200
TEIID-5962,0.1,2700
TEIID-3647,1,41400
TEIID-5977,1,21600
TEIID-5998,0.5,7200
TEIID-5850,2,14400
TEIID-5885,0.5,1200
TEIID-5947,0.5,10800
TEIID-5922,0.5,5400
TEIID-5926,0.5,5400
TEIID-5884,1,19800
TEIID-6018,0.5,9000
TEIID-5937,0.5,19800
TEIID-5994,0.1,3600
TEIID-5995,0.5,7200
TEIID-5751,0.5,7200
TEIID-5841,5,21600
TEIID-5982,0.1,2700
TEIID-5917,1,39600
TEIID-5914,0.5,7200
TEIID-5935,0.5,43200
TEIID-5860,0.5,19800
TEIID-5888,0.5,21600
TEIID-5868,0.5,3600
TEIID-5852,1,9000
TEIID-5877,1,10800
TEIID-5942,0.5,9000
TEIID-5924,0.5,14400
TEIID-5932,0.5,19800
TEIID-5970,0.5,5400
TEIID-5928,1,45000
TEIID-5892,0.1,300
TEIID-5963,0.5,5400
TEIID-5919,0.5,9000
TEIID-5912,0.5,9000
