Issue,SP
TEIID-5913,1
TEIID-5978,0.5
TEIID-5896,1
TEIID-5840,2
TEIID-5976,0.5
TEIID-5952,0.1
TEIID-5875,1
TEIID-5869,0.5
TEIID-5881,0.5
TEIID-5956,0.1
TEIID-5959,0.5
TEIID-5934,0.5
TEIID-5989,0.1
TEIID-5987,0.5
TEIID-5846,0.5
TEIID-5762,0.5
TEIID-5878,0.5
TEIID-5895,0.5
TEIID-5842,1
TEIID-5988,1
TEIID-6019,1
TEIID-5945,0.5
TEIID-5865,1
TEIID-5910,0.5
TEIID-5985,0.5
TEIID-5957,0.5
TEIID-5876,0.5
TEIID-5898,0.5
TEIID-5040,1
TEIID-5887,1
TEIID-5946,0.5
TEIID-5992,0.1
TEIID-5973,0.1
TEIID-5936,1
TEIID-5983,0.1
TEIID-6007,0.1
